PMID,Title,DOI,Abstract,PMCID,Journal_title,Journal_id
33318676,"Neuroinflammation and microglial activation in Alzheimer disease: where do we go 
       from here?",10.1038/s41582-020-00435-y,"Alzheimer disease (AD) is the most common form of neurodegenerative disease, 
       estimated to contribute 60-70% of all cases of dementia worldwide. According to 
       the prevailing amyloid cascade hypothesis, amyloid-β (Aβ) deposition in the brain 
       is the initiating event in AD, although evidence is accumulating that this 
       hypothesis is insufficient to explain many aspects of AD pathogenesis. The 
       discovery of increased levels of inflammatory markers in patients with AD and the 
       identification of AD risk genes associated with innate immune functions suggest 
       that neuroinflammation has a prominent role in the pathogenesis of AD. In this 
       Review, we discuss the interrelationships between neuroinflammation and amyloid 
       and tau pathologies as well as the effect of neuroinflammation on the disease 
       trajectory in AD. We specifically focus on microglia as major players in 
       neuroinflammation and discuss the spatial and temporal variations in microglial 
       phenotypes that are observed under different conditions. We also consider how 
       these cells could be modulated as a therapeutic strategy for AD.",,Nature reviews. Neurology,101500072
38809370,"Recent Advances in Targeting Transition Metals (Copper, Iron, and Zinc) in 
       Alzheimer's Disease.",10.1007/s12035-024-04256-8,"Changes in the transition metal homeostasis in the brain are closely linked with 
       Alzheimer's disease (AD), including intraneuronal iron accumulation and 
       extracellular copper and zinc pooling in the amyloid plague. The brain copper, 
       zinc, and iron surplus are commonly acknowledged characteristics of AD, despite 
       disagreements among some. This has led to the theory that oxidative stress 
       resulting from abnormal homeostasis of these transition metals may be a causative 
       explanation behind AD. In the nervous system, the interaction of metals with 
       proteins appears to be an essential variable in the development or suppression of 
       neurodegeneration. Chelation treatment may be an option for treating 
       neurodegeneration induced by transition metal ion dyshomeostasis. Some clinicians 
       even recommend using chelating agents as an adjunct therapy for AD. The current 
       review also looks at the therapeutic strategies that have been attempted, 
       primarily with metal-chelating drugs. Metal buildup in the nervous system, as 
       reported in the AD, could be the result of compensatory mechanisms designed to 
       improve metal availability for physiological functions.",,Molecular neurobiology,8900963
38802677,"LncRNA TUG1 mediates microglial inflammatory activation by regulating glucose 
       metabolic reprogramming.",10.1038/s41598-024-62966-4,"Microglia are natural immune cells in the central nervous system, and the 
       activation of microglia is accompanied by a reprogramming of glucose metabolism. 
       In our study, we investigated the role of long non-coding RNA taurine-upregulated 
       gene 1 (TUG1) in regulating microglial glucose metabolism reprogramming and 
       activation. BV2 cells were treated with Lipopolysaccharides (LPS)/Interferon-γ 
       (IFN-γ) to establish a microglial activation model. The glycolysis inhibitor 
       2-Deoxy-D-glucose (2-DG) was used as a control. The expression levels of TUG1 
       mRNA and proinflammatory cytokines such as Interleukin-1β (IL-1β), Interleukin 
       -6, and Tumor Necrosis Factor-α mRNA and anti-inflammatory cytokines such as 
       IL-4, Arginase 1(Arg1), CD206, and Ym1 were detected by RT-qPCR. TUG1 was 
       silenced using TUG1 siRNA and knocked out using CRISPR/Cas9. The mRNA and protein 
       expression levels of key enzymes involved in glucose metabolism, such as 
       Hexokinase2, Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), Lactate 
       dehydrogenase, Glucose 6 phosphate dehydrogenase, and Pyruvate dehydrogenase 
       (PDH), were determined by RT-qPCR and Western blotting. The glycolytic rate of 
       microglial cells was measured using Seahorse. Differential metabolites were 
       determined by metabolomics, and pathway enrichment was performed using these 
       differential metabolites. Our findings revealed that the expression of TUG1 was 
       elevated in proinflammatory-activated microglia and positively correlated with 
       the levels of inflammatory factors. The expression of anti-inflammatory cytokines 
       such as IL-4, Arg1, CD206, and Ym1 were decreased when induced with LPS/IFN-γ. 
       However, this decrease was reversed by the treatment with 2-DG. Silencing of 
       GAPDH led to an increase in the expression of TUG1 and inflammatory factors. TUG1 
       knockout (TUG1KO) inhibited the expression of glycolytic key enzymes and promoted 
       the expression of oxidative phosphorylation key enzymes, shifting the metabolic 
       profile of activated microglia from glycolysis to oxidative phosphorylation. 
       Additionally, TUG1KO reduced the accumulation of metabolites, facilitating the 
       restoration of the tricarboxylic acid cycle and enhancing oxidative 
       phosphorylation in microglia. Furthermore, the downregulation of TUG1 was found 
       to reduce the expression of both proinflammatory and anti-inflammatory cytokines 
       under normal conditions. Interestingly, when induced with LPS/IFN-γ, TUG1 
       downregulation showed a potentially beneficial effect on microglia in terms of 
       inflammation. Downregulation of TUG1 expression inhibits glycolysis and 
       facilitates the shift of microglial glucose metabolism from glycolysis to 
       oxidative phosphorylation, promoting their transformation towards an 
       anti-inflammatory phenotype and exerting anti-inflammatory effects in BV2.",PMC11130314,Scientific reports,101563288
38802590,"Regulation of cell distancing in peri-plaque glial nets by Plexin-B1 affects 
       glial activation and amyloid compaction in Alzheimer's disease.",10.1038/s41593-024-01664-w,"Communication between glial cells has a profound impact on the pathophysiology of 
       Alzheimer's disease (AD). We reveal here that reactive astrocytes control cell 
       distancing in peri-plaque glial nets, which restricts microglial access to 
       amyloid deposits. This process is governed by guidance receptor Plexin-B1 
       (PLXNB1), a network hub gene in individuals with late-onset AD that is 
       upregulated in plaque-associated astrocytes. Plexin-B1 deletion in a mouse AD 
       model led to reduced number of reactive astrocytes and microglia in peri-plaque 
       glial nets, but higher coverage of plaques by glial processes, along with 
       transcriptional changes signifying reduced neuroinflammation. Additionally, a 
       reduced footprint of glial nets was associated with overall lower plaque burden, 
       a shift toward dense-core-type plaques and reduced neuritic dystrophy. 
       Altogether, our study demonstrates that Plexin-B1 regulates peri-plaque glial net 
       activation in AD. Relaxing glial spacing by targeting guidance receptors may 
       present an alternative strategy to increase plaque compaction and reduce 
       neuroinflammation in AD.",,Nature neuroscience,9809671
38791205,"Essential Oil Constituents as Anti-Inflammatory and Neuroprotective Agents: An 
       Insight through Microglia Modulation.",10.3390/ijms25105168,"Microglia are key players in the brain's innate immune response, contributing to 
       homeostatic and reparative functions but also to inflammatory and underlying 
       mechanisms of neurodegeneration. Targeting microglia and modulating their 
       function may have therapeutic potential for mitigating neuroinflammation and 
       neurodegeneration. The anti-inflammatory properties of essential oils suggest 
       that some of their components may be useful in regulating microglial function and 
       microglial-associated neuroinflammation. This study, starting from the 
       ethnopharmacological premises of the therapeutic benefits of aromatic plants, 
       assessed the evidence for the essential oil modulation of microglia, 
       investigating their potential pharmacological mechanisms. Current knowledge of 
       the phytoconstituents, safety of essential oil components, and anti-inflammatory 
       and potential neuroprotective effects were reviewed. This review encompasses 
       essential oils of Thymus spp., Artemisia spp., Ziziphora clinopodioides, 
       Valeriana jatamansi, Acorus spp., and others as well as some of their components 
       including 1,8-cineole, β-caryophyllene, β-patchoulene, carvacrol, β-ionone, 
       eugenol, geraniol, menthol, linalool, thymol, α-asarone, and α-thujone. Essential 
       oils that target PPAR/PI3K-Akt/MAPK signalling pathways could supplement other 
       approaches to modulate microglial-associated inflammation to treat 
       neurodegenerative diseases, particularly in cases where reactive microglia play a 
       part in the pathophysiological mechanisms underlying neurodegeneration.",PMC11121245,International journal of molecular sciences,101092791
38790711,"Role of Epigenetic Modulation in Neurodegenerative Diseases: Implications of 
       Phytochemical Interventions.",10.3390/antiox13050606,"Epigenetics defines changes in cell function without involving alterations in DNA 
       sequence. Neuroepigenetics bridges neuroscience and epigenetics by regulating 
       gene expression in the nervous system and its impact on brain function. With the 
       increase in research in recent years, it was observed that alterations in the 
       gene expression did not always originate from changes in the genetic sequence, 
       which has led to understanding the role of epigenetics in neurodegenerative 
       diseases (NDDs) including Alzheimer's disease (AD) and Parkinson's disease (PD). 
       Epigenetic alterations contribute to the aberrant expression of genes involved in 
       neuroinflammation, protein aggregation, and neuronal death. Natural 
       phytochemicals have shown promise as potential therapeutic agents against NDDs 
       because of their antioxidant, anti-inflammatory, and neuroprotective effects in 
       cellular and animal models. For instance, resveratrol (grapes), curcumin 
       (turmeric), and epigallocatechin gallate (EGCG; green tea) exhibit 
       neuroprotective effects through their influence on DNA methylation patterns, 
       histone acetylation, and non-coding RNA expression profiles. Phytochemicals also 
       aid in slowing disease progression, preserving neuronal function, and enhancing 
       cognitive and motor abilities. The present review focuses on various epigenetic 
       modifications involved in the pathology of NDDs, including AD and PD, gene 
       expression regulation related to epigenetic alterations, and the role of specific 
       polyphenols in influencing epigenetic modifications in AD and PD.",PMC11118909,"Antioxidants (Basel, Switzerland)",101668981
