PMID,Title,DOI,Abstract,PMCID,Journal_title,Journal_id
31042697,Single-cell transcriptomic analysis of Alzheimer's disease.,10.1038/s41586-019-1195-2,"Alzheimer's disease is a pervasive neurodegenerative disorder, the molecular 
       complexity of which remains poorly understood. Here, we analysed 80,660 
       single-nucleus transcriptomes from the prefrontal cortex of 48 individuals with 
       varying degrees of Alzheimer's disease pathology. Across six major brain cell 
       types, we identified transcriptionally distinct subpopulations, including those 
       associated with pathology and characterized by regulators of myelination, 
       inflammation, and neuron survival. The strongest disease-associated changes 
       appeared early in pathological progression and were highly cell-type specific, 
       whereas genes upregulated at late stages were common across cell types and 
       primarily involved in the global stress response. Notably, we found that female 
       cells were overrepresented in disease-associated subpopulations, and that 
       transcriptional responses were substantially different between sexes in several 
       cell types, including oligodendrocytes. Overall, myelination-related processes 
       were recurrently perturbed in multiple cell types, suggesting that myelination 
       has a key role in Alzheimer's disease pathophysiology. Our single-cell 
       transcriptomic resource provides a blueprint for interrogating the molecular and 
       cellular basis of Alzheimer's disease.",PMC6865822,Nature,0410462
38781336,"Evaluating performance and applications of sample-wise cell deconvolution methods 
       on human brain transcriptomic data.",10.1126/sciadv.adh2588,"Sample-wise deconvolution methods estimate cell-type proportions and gene 
       expressions in bulk tissue samples, yet their performance and biological 
       applications remain unexplored, particularly in human brain transcriptomic data. 
       Here, nine deconvolution methods were evaluated with sample-matched data from 
       bulk tissue RNA sequencing (RNA-seq), single-cell/nuclei (sc/sn) RNA-seq, and 
       immunohistochemistry. A total of 1,130,767 nuclei per cells from 149 adult 
       postmortem brains and 72 organoid samples were used. The results showed the best 
       performance of dtangle for estimating cell proportions and bMIND for estimating 
       sample-wise cell-type gene expressions. For eight brain cell types, 25,273 
       cell-type eQTLs were identified with deconvoluted expressions (decon-eQTLs). The 
       results showed that decon-eQTLs explained more schizophrenia GWAS heritability 
       than bulk tissue or single-cell eQTLs did alone. Differential gene expressions 
       associated with Alzheimer's disease, schizophrenia, and brain development were 
       also examined using the deconvoluted data. Our findings, which were replicated in 
       bulk tissue and single-cell data, provided insights into the biological 
       applications of deconvoluted data in multiple brain disorders.",PMC11114236,Science advances,101653440
38781333,"Brain cell-type shifts in Alzheimer's disease, autism, and schizophrenia 
       interrogated using methylomics and genetics.",10.1126/sciadv.adn7655,"Few neuropsychiatric disorders have replicable biomarkers, prompting 
       high-resolution and large-scale molecular studies. However, we still lack 
       consensus on a more foundational question: whether quantitative shifts in cell 
       types-the functional unit of life-contribute to neuropsychiatric disorders. 
       Leveraging advances in human brain single-cell methylomics, we deconvolve seven 
       major cell types using bulk DNA methylation profiling across 1270 postmortem 
       brains, including from individuals diagnosed with Alzheimer's disease, 
       schizophrenia, and autism. We observe and replicate cell-type compositional 
       shifts for Alzheimer's disease (endothelial cell loss), autism (increased 
       microglia), and schizophrenia (decreased oligodendrocytes), and find age- and 
       sex-related changes. Multiple layers of evidence indicate that endothelial cell 
       loss contributes to Alzheimer's disease, with comparable effect size to APOE 
       genotype among older people. Genome-wide association identified five genetic loci 
       related to cell-type composition, involving plausible genes for the neurovascular 
       unit (P2RX5 and TRPV3) and excitatory neurons (DPY30 and MEMO1). These results 
       implicate specific cell-type shifts in the pathophysiology of neuropsychiatric 
       disorders.",PMC11114225,Science advances,101653440
38760483,"Supervised latent factor modeling isolates cell-type-specific transcriptomic 
       modules that underlie Alzheimer's disease progression.",10.1038/s42003-024-06273-8,"Late onset Alzheimer's disease (AD) is a progressive neurodegenerative disease, 
       with brain changes beginning years before symptoms surface. AD is characterized 
       by neuronal loss, the classic feature of the disease that underlies brain 
