PMID,Title,DOI,Abstract,PMCID,Journal_title,Journal_id
31891371,"A multiomics approach to heterogeneity in Alzheimer's disease: focused review and 
       roadmap.",10.1093/brain/awz384,"Aetiological and clinical heterogeneity is increasingly recognized as a common 
       characteristic of Alzheimer's disease and related dementias. This heterogeneity 
       complicates diagnosis, treatment, and the design and testing of new drugs. An 
       important line of research is discovery of multimodal biomarkers that will 
       facilitate the targeting of subpopulations with homogeneous pathophysiological 
       signatures. High-throughput 'omics' are unbiased data-driven techniques that 
       probe the complex aetiology of Alzheimer's disease from multiple levels (e.g. 
       network, cellular, and molecular) and thereby account for pathophysiological 
       heterogeneity in clinical populations. This review focuses on data reduction 
       analyses that identify complementary disease-relevant perturbations for three 
       omics techniques: neuroimaging-based subtypes, metabolomics-derived metabolite 
       panels, and genomics-related polygenic risk scores. Neuroimaging can track 
       accrued neurodegeneration and other sources of network impairments, metabolomics 
       provides a global small-molecule snapshot that is sensitive to ongoing 
       pathological processes, and genomics characterizes relatively invariant genetic 
       risk factors representing key pathways associated with Alzheimer's disease. 
       Following this focused review, we present a roadmap for assembling these 
       multiomics measurements into a diagnostic tool highly predictive of individual 
       clinical trajectories, to further the goal of personalized medicine in 
       Alzheimer's disease.",PMC7241959,Brain : a journal of neurology,0372537
38673048,"Identifying Progression-Specific Alzheimer's Subtypes Using Multimodal 
       Transformer.",10.3390/jpm14040421,"Alzheimer's disease (AD) is the most prevalent neurodegenerative disease, yet its 
       current treatments are limited to stopping disease progression. Moreover, the 
       effectiveness of these treatments remains uncertain due to the heterogeneity of 
       the disease. Therefore, it is essential to identify disease subtypes at a very 
       early stage. Current data-driven approaches can be used to classify subtypes 
       during later stages of AD or related disorders, but making predictions in the 
       asymptomatic or prodromal stage is challenging. Furthermore, the classifications 
       of most existing models lack explainability, and these models rely solely on a 
       single modality for assessment, limiting the scope of their analysis. Thus, we 
       propose a multimodal framework that utilizes early-stage indicators, including 
       imaging, genetics, and clinical assessments, to classify AD patients into 
       progression-specific subtypes at an early stage. In our framework, we introduce a 
       tri-modal co-attention mechanism (Tri-COAT) to explicitly capture cross-modal 
       feature associations. Data from the Alzheimer's Disease Neuroimaging Initiative 
       (ADNI) (slow progressing = 177, intermediate = 302, and fast = 15) were used to 
       train and evaluate Tri-COAT using a 10-fold stratified cross-testing approach. 
       Our proposed model outperforms baseline models and sheds light on essential 
       associations across multimodal features supported by known biological mechanisms. 
       The multimodal design behind Tri-COAT allows it to achieve the highest 
       classification area under the receiver operating characteristic curve while 
       simultaneously providing interpretability to the model predictions through the 
       co-attention mechanism.",PMC11051083,Journal of personalized medicine,101602269
38644883,"Causal association and mediating effect of blood biochemical metabolic traits and 
       brain image-derived endophenotypes on Alzheimer's disease.",10.1016/j.heliyon.2024.e27422,"BACKGROUND: Recent genetic evidence supports that circulating biochemical and 
       metabolic traits (BMTs) play a causal role in Alzheimer's disease (AD), which 
       might be mediated by changes in brain structure. Here, we leveraged publicly 
       available genome-wide association study data to investigate the intrinsic causal 
       relationship between blood BMTs, brain image-derived phenotypes (IDPs) and AD. 
       METHODS: Utilizing the genetic variants associated with 760 blood BMTs and 172 
       brain IDPs as the exposure and the latest AD summary statistics as the outcome, 
